1/100: train_loss=[1.0599641799926758, 1.1027212142944336], test_loss=[1.1061310960522182, 1.1884837399555157]
2/100: train_loss=[0.8720131516456604, 0.9985911846160889], test_loss=[0.9754107292694382, 1.0275822462914865]
3/100: train_loss=[0.7721479535102844, 0.7621825337409973], test_loss=[0.8838390240186378, 0.9210492613949354]
4/100: train_loss=[0.6150092482566833, 0.729910671710968], test_loss=[0.8231050277812572, 0.892038288750226]
5/100: train_loss=[0.6046865582466125, 0.7227552533149719], test_loss=[0.7505860051399544, 0.8406428102451035]
6/100: train_loss=[0.5652714371681213, 0.6612069010734558], test_loss=[0.7163689385486555, 0.8018540804144703]
7/100: train_loss=[0.700716495513916, 0.6206884980201721], test_loss=[0.7182801305493222, 0.7458330558825143]
8/100: train_loss=[0.578298032283783, 0.7478134036064148], test_loss=[0.6955357642867898, 0.7823838874509063]
9/100: train_loss=[0.7614111304283142, 0.7564221024513245], test_loss=[0.6236464238808125, 0.7132533811315706]
10/100: train_loss=[0.7985835671424866, 0.7397961020469666], test_loss=[0.6743570934933952, 0.7033588354346119]
11/100: train_loss=[0.543083131313324, 0.687690019607544], test_loss=[0.6613999030823949, 0.7385326065594637]
12/100: train_loss=[0.43372246623039246, 0.4399016797542572], test_loss=[0.6783715097021453, 0.7637374133248872]
13/100: train_loss=[0.5673653483390808, 0.6415784955024719], test_loss=[0.6141750022203107, 0.703273860336859]
14/100: train_loss=[0.5610906481742859, 0.4545026123523712], test_loss=[0.60999327115243, 0.6963910781130006]
15/100: train_loss=[0.4485926628112793, 0.6736249327659607], test_loss=[0.6066518615506873, 0.6586024648026575]
16/100: train_loss=[0.4949246942996979, 0.5113601088523865], test_loss=[0.6293034313977519, 0.6614480124244208]
17/100: train_loss=[0.5103405117988586, 0.5617408156394958], test_loss=[0.5953023099823843, 0.6253068994117689]
18/100: train_loss=[0.48703789710998535, 0.5435007214546204], test_loss=[0.5704756484755987, 0.6210144169722931]
19/100: train_loss=[0.4421672821044922, 0.5226898193359375], test_loss=[0.5997266566640214, 0.6568717926363402]
20/100: train_loss=[0.4707385003566742, 0.451183557510376], test_loss=[0.5694571169494074, 0.6325844288626804]
21/100: train_loss=[0.6135733723640442, 0.6548816561698914], test_loss=[0.5611525515589533, 0.6347967499419104]
22/100: train_loss=[0.5248003005981445, 0.5613632798194885], test_loss=[0.5670176284694219, 0.6127215503137323]
