Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[0.9941336  0.00586639], train_loss=[0.76785845 2.065479  ], train_acc=[0.74870833 0.28059167], test_loss=[0.75363266 2.0509505 ], test_acc=[0.7555 0.28  ]
2/100: weights=[0.995753   0.00424701], train_loss=[0.50507444 1.7394271 ], train_acc=[0.83709167 0.39050833], test_loss=[0.492754 1.723936], test_acc=[0.83745 0.3934 ]
Reference vector (1/18): 0.5, 0.5
1/100: weights=[0.8068693  0.19313066], train_loss=[2.3036792 2.3055203], train_acc=[0.11236667 0.110125  ], test_loss=[2.3034616 2.3044481], test_acc=[0.1135  0.11585]
2/100: weights=[0.34123892 0.6587611 ], train_loss=[2.3071737 2.3049138], train_acc=[0.10441667 0.110125  ], test_loss=[2.3081837 2.3034277], test_acc=[0.10285 0.11585]
4/100: weights=[0.50274163 0.4972584 ], train_loss=[2.3224127 2.3122895], train_acc=[0.0975   0.110125], test_loss=[2.3208983 2.3096962], test_acc=[0.0974  0.11585]
6/100: weights=[0.20836829 0.7916317 ], train_loss=[2.3101768 2.312119 ], train_acc=[0.09736667 0.10156667], test_loss=[2.3106215 2.3150125], test_acc=[0.0982  0.09765]
8/100: weights=[0.49743393 0.5025661 ], train_loss=[2.3104365 2.311406 ], train_acc=[0.098725   0.10156667], test_loss=[2.310698  2.3121395], test_acc=[0.098   0.09765]
10/100: weights=[0.44485205 0.55514795], train_loss=[2.32736   2.3090057], train_acc=[0.09736667 0.110125  ], test_loss=[2.3273668 2.3079283], test_acc=[0.0982  0.11585]
12/100: weights=[0.56597984 0.43402016], train_loss=[2.322791  2.3142076], train_acc=[0.09736667 0.09799167], test_loss=[2.32084   2.3137825], test_acc=[0.0982  0.09675]
14/100: weights=[0.50827384 0.49172616], train_loss=[2.3081627 2.308676 ], train_acc=[0.10441667 0.1002    ], test_loss=[2.3091786 2.3072646], test_acc=[0.10285 0.10135]
