Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[1.9677039  0.03229612], train_loss=[1.4283335 2.662974 ], train_acc=[0.52441667 0.12611667], test_loss=[1.4064096 2.671639 ], test_acc=[0.53185 0.1229 ]
2/100: weights=[1.9981856e+00 1.8143698e-03], train_loss=[2.3021138 4.9313474], train_acc=[0.11236667 0.10156667], test_loss=[2.3021746 4.9011445], test_acc=[0.1135  0.09765]
4/100: weights=[1.996756   0.00324399], train_loss=[2.3016665 2.3016226], train_acc=[0.11236667 0.110125  ], test_loss=[2.3013492 2.301016 ], test_acc=[0.1135  0.11585]
6/100: weights=[1.9855187  0.01448136], train_loss=[2.3018494 2.3017907], train_acc=[0.11236667 0.110125  ], test_loss=[2.3023517 2.3008776], test_acc=[0.1135  0.11585]
8/100: weights=[1.9941784  0.00582154], train_loss=[2.301771 2.301796], train_acc=[0.11236667 0.110125  ], test_loss=[2.3015444 2.3010607], test_acc=[0.1135  0.11585]
10/100: weights=[1.9926022  0.00739783], train_loss=[2.3013723 2.3015692], train_acc=[0.11236667 0.110125  ], test_loss=[2.301168  2.3008225], test_acc=[0.1135  0.11585]
12/100: weights=[1.9848977  0.01510228], train_loss=[2.3019993 2.30153  ], train_acc=[0.10441667 0.110125  ], test_loss=[2.3022997 2.3007648], test_acc=[0.10285 0.11585]
14/100: weights=[1.9976265  0.00237341], train_loss=[2.3016636 2.3014743], train_acc=[0.11236667 0.110125  ], test_loss=[2.3016582 2.3007433], test_acc=[0.1135  0.11585]
16/100: weights=[1.9962367  0.00376336], train_loss=[2.3016245 2.3016057], train_acc=[0.11236667 0.110125  ], test_loss=[2.301012  2.3007965], test_acc=[0.1135  0.11585]
18/100: weights=[1.9879817  0.01201836], train_loss=[2.301736  2.3028424], train_acc=[0.11236667 0.110125  ], test_loss=[2.3013816 2.3019352], test_acc=[0.1135  0.11585]
20/100: weights=[1.998 0.002], train_loss=[2.3013608 2.3015137], train_acc=[0.11236667 0.110125  ], test_loss=[2.3012793 2.3009214], test_acc=[0.1135  0.11585]
22/100: weights=[1.998 0.002], train_loss=[2.3018792 2.3015392], train_acc=[0.10441667 0.110125  ], test_loss=[2.3016794 2.3007493], test_acc=[0.10285 0.11585]
24/100: weights=[1.993943   0.00605701], train_loss=[2.3013856 2.3014958], train_acc=[0.11236667 0.110125  ], test_loss=[2.301171  2.3008432], test_acc=[0.1135  0.11585]
26/100: weights=[1.998 0.002], train_loss=[2.3022487 2.3014944], train_acc=[0.10218333 0.110125  ], test_loss=[2.3026288 2.3008316], test_acc=[0.101   0.11585]
28/100: weights=[1.9961733  0.00382678], train_loss=[2.3018749 2.301507 ], train_acc=[0.11236667 0.110125  ], test_loss=[2.3017492 2.3008385], test_acc=[0.1135  0.11585]
30/100: weights=[1.998 0.002], train_loss=[2.3014612 2.3015523], train_acc=[0.11236667 0.110125  ], test_loss=[2.301285  2.3008254], test_acc=[0.1135  0.11585]
32/100: weights=[1.9990157e+00 9.8432798e-04], train_loss=[2.301474  2.3016663], train_acc=[0.11236667 0.110125  ], test_loss=[2.3011456 2.300913 ], test_acc=[0.1135  0.11585]
34/100: weights=[1.992445   0.00755504], train_loss=[2.301442 2.301536], train_acc=[0.11236667 0.110125  ], test_loss=[2.3014588 2.3007884], test_acc=[0.1135  0.11585]
36/100: weights=[1.998 0.002], train_loss=[2.3018756 2.3015027], train_acc=[0.11236667 0.110125  ], test_loss=[2.3019974 2.3007996], test_acc=[0.1135  0.11585]
