Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[0.64714986 1.3528502 ], train_loss=[1.886674  2.0196874], train_acc=[0.33758333 0.299125  ], test_loss=[1.8804067 2.0031583], test_acc=[0.3363  0.30795]
2/100: weights=[0.7346873 1.2653127], train_loss=[1.6229599 1.7955123], train_acc=[0.45545833 0.38195   ], test_loss=[1.6094605 1.778098 ], test_acc=[0.4622 0.3873]
4/100: weights=[0.7897231 1.2102768], train_loss=[1.3705993 1.5565826], train_acc=[0.55075    0.45731667], test_loss=[1.3602699 1.5356882], test_acc=[0.55305 0.46775]
6/100: weights=[1.4022812 0.5977188], train_loss=[1.2080866 1.4072305], train_acc=[0.60485    0.51321667], test_loss=[1.1932962 1.3865542], test_acc=[0.60695 0.5183 ]
8/100: weights=[1.2150993  0.78490067], train_loss=[1.0802423 1.2528787], train_acc=[0.64474167 0.56735   ], test_loss=[1.0683945 1.2318738], test_acc=[0.64445 0.5711 ]
10/100: weights=[0.6979356 1.3020644], train_loss=[0.9743992 1.1362414], train_acc=[0.6782     0.60933333], test_loss=[0.9625535 1.1142391], test_acc=[0.67815 0.61355]
12/100: weights=[0.8438026 1.1561974], train_loss=[0.90119   1.0431855], train_acc=[0.70279167 0.643725  ], test_loss=[0.888968  1.0247186], test_acc=[0.70275 0.64855]
14/100: weights=[0.6841294 1.3158705], train_loss=[0.843169   0.97223556], train_acc=[0.72249167 0.66769167], test_loss=[0.83086705 0.9576019 ], test_acc=[0.724   0.67205]
16/100: weights=[0.9072561 1.0927439], train_loss=[0.801104  0.9197479], train_acc=[0.7377   0.687325], test_loss=[0.791414  0.9041449], test_acc=[0.73865 0.6922 ]
18/100: weights=[1.0003494 0.9996506], train_loss=[0.75953645 0.8792665 ], train_acc=[0.7518     0.70155833], test_loss=[0.74741286 0.86689353], test_acc=[0.75235 0.7063 ]
20/100: weights=[1.0855578 0.9144422], train_loss=[0.729335  0.8409591], train_acc=[0.76205833 0.71604167], test_loss=[0.7169047 0.8305008], test_acc=[0.76365 0.71815]
22/100: weights=[1.342764  0.6572359], train_loss=[0.7098688  0.81389445], train_acc=[0.76855833 0.72585   ], test_loss=[0.699114   0.80466986], test_acc=[0.7694 0.7293]
24/100: weights=[0.87256265 1.1274374 ], train_loss=[0.6863086 0.787786 ], train_acc=[0.77795    0.73349167], test_loss=[0.6740356 0.7777104], test_acc=[0.7816 0.7378]
26/100: weights=[0.9369482 1.0630518], train_loss=[0.665705   0.76958984], train_acc=[0.78364167 0.74076667], test_loss=[0.65348834 0.7613229 ], test_acc=[0.78745 0.74415]
28/100: weights=[1.2629129  0.73708713], train_loss=[0.6512783 0.7477028], train_acc=[0.78830833 0.748675  ], test_loss=[0.6414605 0.7403668], test_acc=[0.79175 0.75265]
30/100: weights=[1.1035894 0.8964105], train_loss=[0.6385445  0.72936547], train_acc=[0.79229167 0.75403333], test_loss=[0.62632877 0.7224577 ], test_acc=[0.7964 0.7592]
32/100: weights=[1.1435803 0.8564197], train_loss=[0.6274767  0.71291226], train_acc=[0.79591667 0.76001667], test_loss=[0.6161029 0.7066461], test_acc=[0.79865 0.7637 ]
34/100: weights=[0.53360826 1.4663917 ], train_loss=[0.61389786 0.70073473], train_acc=[0.8004     0.76524167], test_loss=[0.6013244  0.69511104], test_acc=[0.8034 0.7674]
36/100: weights=[1.2144295 0.7855705], train_loss=[0.6025913  0.68644506], train_acc=[0.804075 0.76975 ], test_loss=[0.5907285  0.68259114], test_acc=[0.8057 0.7731]
38/100: weights=[0.7712741 1.2287259], train_loss=[0.5922602  0.67608035], train_acc=[0.80845833 0.77255   ], test_loss=[0.58031636 0.6684131 ], test_acc=[0.8094  0.77725]
40/100: weights=[0.81382895 1.186171  ], train_loss=[0.5833739  0.66686624], train_acc=[0.81130833 0.77630833], test_loss=[0.5725677 0.6608604], test_acc=[0.81175 0.77805]
42/100: weights=[0.98419374 1.0158062 ], train_loss=[0.5730824 0.652773 ], train_acc=[0.81415833 0.7812    ], test_loss=[0.5616569  0.64589334], test_acc=[0.81475 0.7841 ]
44/100: weights=[0.5849992 1.4150008], train_loss=[0.5642512  0.64315116], train_acc=[0.81656667 0.784725  ], test_loss=[0.5510563 0.6393342], test_acc=[0.82025 0.7861 ]
46/100: weights=[1.43436 0.56564], train_loss=[0.55711496 0.636369  ], train_acc=[0.81918333 0.78711667], test_loss=[0.54416096 0.6325616 ], test_acc=[0.8206 0.7879]
48/100: weights=[1.0126654 0.9873346], train_loss=[0.5514227 0.6298635], train_acc=[0.82131667 0.7887    ], test_loss=[0.53859067 0.6283831 ], test_acc=[0.82175 0.7905 ]
50/100: weights=[0.9829508 1.0170492], train_loss=[0.5460323  0.62258595], train_acc=[0.82364167 0.79109167], test_loss=[0.5351624 0.6191044], test_acc=[0.82385 0.7923 ]
