Reference vector (1/18): 0.9965845, 0.082579345
kappa to 0
kappa to 0
1/100: weights=[1.9617672  0.03823283], train_loss=[2.0726743 2.4476614], train_acc=[0.24523333 0.11563333], test_loss=[2.076632  2.4531908], test_acc=[0.24685 0.1172 ]
kappa to 0
2/100: weights=[1.9722668  0.02773326], train_loss=[1.9573448 2.4933515], train_acc=[0.292475   0.12118333], test_loss=[1.9600356 2.5007474], test_acc=[0.29135 0.12425]
kappa to 0
kappa to 0
kappa to 0
4/100: weights=[1.9650259  0.03497404], train_loss=[1.75429   2.6271107], train_acc=[0.36278333 0.125825  ], test_loss=[1.7606496 2.6367989], test_acc=[0.3537  0.13105]
6/100: weights=[1.9858528  0.01414712], train_loss=[1.5614449 2.8544729], train_acc=[0.433  0.1281], test_loss=[1.5650444 2.8679554], test_acc=[0.4271 0.1325]
8/100: weights=[1.9944551  0.00554488], train_loss=[1.3357203 3.1577716], train_acc=[0.54180833 0.12925833], test_loss=[1.3220135 3.1756275], test_acc=[0.54455 0.13055]
10/100: weights=[1.9650933  0.03490674], train_loss=[1.1795727 3.2371511], train_acc=[0.60641667 0.130725  ], test_loss=[1.1655576 3.2580335], test_acc=[0.6122  0.13315]
12/100: weights=[1.9576981  0.04230184], train_loss=[1.1266311 3.2073095], train_acc=[0.61845    0.13294167], test_loss=[1.1137881 3.2281353], test_acc=[0.61575 0.1355 ]
14/100: weights=[1.9756055  0.02439449], train_loss=[0.94248396 3.2164009 ], train_acc=[0.69205    0.13488333], test_loss=[0.92908454 3.2355292 ], test_acc=[0.696   0.13505]
16/100: weights=[1.998 0.002], train_loss=[0.84160936 3.2388446 ], train_acc=[0.72765833 0.13071667], test_loss=[0.8256493 3.2587984], test_acc=[0.7318  0.13405]
18/100: weights=[1.9805881  0.01941194], train_loss=[0.7881517 3.1818447], train_acc=[0.74474167 0.140675  ], test_loss=[0.77815616 3.1996317 ], test_acc=[0.75025 0.1423 ]
20/100: weights=[1.9892514  0.01074862], train_loss=[0.6945302 3.1430151], train_acc=[0.77638333 0.139525  ], test_loss=[0.6786579 3.1550496], test_acc=[0.78245 0.14195]
22/100: weights=[1.998 0.002], train_loss=[0.65440047 3.0864305 ], train_acc=[0.789475 0.136225], test_loss=[0.6413311 3.0978997], test_acc=[0.7937  0.13845]
24/100: weights=[1.9749124  0.02508761], train_loss=[0.62707037 3.0263617 ], train_acc=[0.79654167 0.13928333], test_loss=[0.615896  3.0386074], test_acc=[0.79975 0.14085]
26/100: weights=[1.9963665 0.0036335], train_loss=[0.588704  2.9326305], train_acc=[0.81161667 0.14206667], test_loss=[0.578018  2.9481006], test_acc=[0.8147 0.1418]
28/100: weights=[1.998 0.002], train_loss=[0.590251  2.8360593], train_acc=[0.81385833 0.13841667], test_loss=[0.58315426 2.8530564 ], test_acc=[0.81545 0.13545]
30/100: weights=[1.998 0.002], train_loss=[0.95806307 2.8198094 ], train_acc=[0.69859167 0.13878333], test_loss=[0.93967   2.8346832], test_acc=[0.70385 0.1368 ]
32/100: weights=[1.998 0.002], train_loss=[0.52627325 2.7589056 ], train_acc=[0.830475   0.14408333], test_loss=[0.51370037 2.7694192 ], test_acc=[0.8359 0.143 ]
34/100: weights=[1.9681587 0.0318413], train_loss=[0.5072157 2.6240888], train_acc=[0.836625   0.15299167], test_loss=[0.49489063 2.6349266 ], test_acc=[0.8413 0.1487]
36/100: weights=[1.9768181  0.02318192], train_loss=[0.47999746 2.5527418 ], train_acc=[0.845775   0.15763333], test_loss=[0.4746714 2.5653033], test_acc=[0.84835 0.15485]
38/100: weights=[1.9123949  0.08760507], train_loss=[0.60338956 2.4755151 ], train_acc=[0.80359167 0.15916667], test_loss=[0.5986673 2.4878309], test_acc=[0.8049 0.157 ]
40/100: weights=[1.9823651  0.01763487], train_loss=[0.45223498 2.413887  ], train_acc=[0.85469167 0.169375  ], test_loss=[0.4493416 2.4241688], test_acc=[0.85495 0.1693 ]
42/100: weights=[1.9895751  0.01042487], train_loss=[0.43460435 2.319958  ], train_acc=[0.861075   0.18501667], test_loss=[0.43053612 2.3304632 ], test_acc=[0.8611  0.18475]
44/100: weights=[1.9797213  0.02027872], train_loss=[0.4215852 2.2395067], train_acc=[0.86410833 0.20843333], test_loss=[0.419342  2.2465594], test_acc=[0.8631 0.2087]
46/100: weights=[1.9705746  0.02942535], train_loss=[0.40933886 2.1496801 ], train_acc=[0.86809167 0.23409167], test_loss=[0.40967074 2.1627955 ], test_acc=[0.86755 0.2321 ]
48/100: weights=[1.9845121  0.01548787], train_loss=[0.39844224 2.0764854 ], train_acc=[0.871575   0.26066667], test_loss=[0.3992106 2.0854897], test_acc=[0.8688  0.26065]
50/100: weights=[1.998 0.002], train_loss=[0.42535576 2.0228317 ], train_acc=[0.86183333 0.28016667], test_loss=[0.4218531 2.0378995], test_acc=[0.86165 0.27655]
52/100: weights=[1.9754059  0.02459407], train_loss=[0.36542773 1.9509481 ], train_acc=[0.88208333 0.30753333], test_loss=[0.3658953 1.9628264], test_acc=[0.8805  0.30645]
54/100: weights=[1.9838394  0.01616066], train_loss=[0.3547671 1.8734902], train_acc=[0.88554167 0.3398    ], test_loss=[0.3560996 1.8822058], test_acc=[0.8818  0.33975]
56/100: weights=[1.983766   0.01623401], train_loss=[0.35347694 1.7930943 ], train_acc=[0.88595    0.37146667], test_loss=[0.35897237 1.8020234 ], test_acc=[0.88225 0.36925]
58/100: weights=[1.9519497  0.04805024], train_loss=[0.35752907 1.7333592 ], train_acc=[0.88545833 0.39633333], test_loss=[0.36181653 1.7378036 ], test_acc=[0.88175 0.3969 ]
60/100: weights=[1.9767435  0.02325658], train_loss=[0.34101844 1.6990259 ], train_acc=[0.88980833 0.409325  ], test_loss=[0.350569  1.7054935], test_acc=[0.8859 0.4076]
62/100: weights=[1.998 0.002], train_loss=[0.33246538 1.6286957 ], train_acc=[0.89265833 0.43506667], test_loss=[0.34116432 1.6326723 ], test_acc=[0.8888  0.43705]
64/100: weights=[1.9973336  0.00266638], train_loss=[0.32830602 1.5781912 ], train_acc=[0.89384167 0.45314167], test_loss=[0.3376199 1.5853548], test_acc=[0.8892 0.4541]
66/100: weights=[1.9845885  0.01541144], train_loss=[0.32259795 1.5523748 ], train_acc=[0.89585    0.46393333], test_loss=[0.33482727 1.5551635 ], test_acc=[0.8917  0.46485]
68/100: weights=[1.9762194  0.02378063], train_loss=[0.31224   1.5190202], train_acc=[0.898825   0.47490833], test_loss=[0.32996386 1.5204101 ], test_acc=[0.89365 0.4772 ]
70/100: weights=[1.9990729e+00 9.2709070e-04], train_loss=[0.31071594 1.4784344 ], train_acc=[0.89966667 0.48880833], test_loss=[0.3268691 1.4786386], test_acc=[0.8948  0.49115]
72/100: weights=[1.998 0.002], train_loss=[0.30588427 1.4499348 ], train_acc=[0.90088333 0.498525  ], test_loss=[0.32225612 1.4477118 ], test_acc=[0.89445 0.5013 ]
74/100: weights=[1.998 0.002], train_loss=[0.31110504 1.4394965 ], train_acc=[0.89900833 0.50105   ], test_loss=[0.32430387 1.4385173 ], test_acc=[0.8946  0.50305]
76/100: weights=[1.998 0.002], train_loss=[0.3489306 1.4125028], train_acc=[0.88766667 0.50995   ], test_loss=[0.3690669 1.4094507], test_acc=[0.8819 0.517 ]
78/100: weights=[1.998 0.002], train_loss=[0.29252785 1.3843831 ], train_acc=[0.90514167 0.51930833], test_loss=[0.31343138 1.3822316 ], test_acc=[0.8982 0.5236]
80/100: weights=[1.998 0.002], train_loss=[0.28459653 1.3657607 ], train_acc=[0.907875   0.52486667], test_loss=[0.30828103 1.3620574 ], test_acc=[0.90075 0.53105]
82/100: weights=[1.998 0.002], train_loss=[0.30399537 1.3560921 ], train_acc=[0.90150833 0.527925  ], test_loss=[0.32571542 1.3517963 ], test_acc=[0.8952  0.53315]
84/100: weights=[1.9926099  0.00739014], train_loss=[0.28236914 1.3402702 ], train_acc=[0.90815833 0.53401667], test_loss=[0.31308618 1.3366896 ], test_acc=[0.8971 0.5395]
86/100: weights=[1.9875468  0.01245321], train_loss=[0.2741042 1.3146964], train_acc=[0.911075   0.54373333], test_loss=[0.30189902 1.3111774 ], test_acc=[0.90235 0.54565]
88/100: weights=[1.9971172  0.00288284], train_loss=[0.27334043 1.296431  ], train_acc=[0.91095    0.54945833], test_loss=[0.3047143 1.2939259], test_acc=[0.9003  0.55545]
90/100: weights=[1.998 0.002], train_loss=[0.26654696 1.2909732 ], train_acc=[0.91361667 0.55175   ], test_loss=[0.29990664 1.2874798 ], test_acc=[0.90315 0.55875]
92/100: weights=[1.9925561  0.00744396], train_loss=[0.26439476 1.2809258 ], train_acc=[0.91420833 0.55431667], test_loss=[0.29594615 1.2761222 ], test_acc=[0.90425 0.5585 ]
94/100: weights=[1.998 0.002], train_loss=[0.2694864 1.2678107], train_acc=[0.91246667 0.556525  ], test_loss=[0.30157566 1.2626458 ], test_acc=[0.90115 0.56405]
96/100: weights=[1.993678   0.00632201], train_loss=[0.264228  1.2620595], train_acc=[0.91363333 0.55930833], test_loss=[0.2986489 1.2569017], test_acc=[0.9038  0.56375]
98/100: weights=[1.9821937 0.0178063], train_loss=[0.2583359 1.2461874], train_acc=[0.91575833 0.56611667], test_loss=[0.29435107 1.2410846 ], test_acc=[0.9044  0.56845]
100/100: weights=[1.998 0.002], train_loss=[0.2751303 1.2388029], train_acc=[0.91068333 0.569975  ], test_loss=[0.3158336 1.2334883], test_acc=[0.8975  0.57315]
