100/100: weights=[1.998 0.002], train_loss=[0.21887816 1.089728  ], train_acc=[0.928925   0.62299167], test_loss=[0.31100848 1.0772973 ], test_acc=[0.9008 0.6289]
100/100: weights=[1.9866647  0.01333535], train_loss=[0.19384092 0.8441046 ], train_acc=[0.93736667 0.71058333], test_loss=[0.28983232 0.8244794 ], test_acc=[0.90745 0.7159 ]
100/100: weights=[1.9447447  0.05525523], train_loss=[0.21233685 0.6424313 ], train_acc=[0.930425   0.78435833], test_loss=[0.3070929 0.6426706], test_acc=[0.90205 0.78465]
100/100: weights=[1.8004446  0.19955535], train_loss=[0.16193344 0.4176078 ], train_acc=[0.94811667 0.85980833], test_loss=[0.2833028 0.4504969], test_acc=[0.9122  0.85115]
100/100: weights=[1.7915759  0.20842408], train_loss=[0.16593078 0.43942255], train_acc=[0.94671667 0.8528    ], test_loss=[0.2749137  0.46802992], test_acc=[0.9152 0.8443]
100/100: weights=[1.792868   0.20713197], train_loss=[0.16316673 0.3944772 ], train_acc=[0.946725   0.86774167], test_loss=[0.26701516 0.42460135], test_acc=[0.9174 0.8582]
100/100: weights=[1.6519816  0.34801844], train_loss=[0.22948924 0.41127142], train_acc=[0.92548333 0.86240833], test_loss=[0.29551694 0.44994825], test_acc=[0.9029 0.8516]
100/100: weights=[1.3739585 0.6260415], train_loss=[0.3831524 0.4778421], train_acc=[0.876375   0.83841667], test_loss=[0.3924574 0.4906766], test_acc=[0.8712  0.83495]
100/100: weights=[1.049046 0.950954], train_loss=[0.2204262  0.30882955], train_acc=[0.92914167 0.8968    ], test_loss=[0.29470107 0.37469378], test_acc=[0.90365 0.8762 ]
100/100: weights=[1.2016077  0.79839236], train_loss=[0.22003432 0.28798687], train_acc=[0.92823333 0.90385   ], test_loss=[0.30290017 0.3665516 ], test_acc=[0.9033  0.88095]
100/100: weights=[0.70665497 1.2933451 ], train_loss=[0.27992004 0.31212488], train_acc=[0.908975   0.89540833], test_loss=[0.32429382 0.3638402 ], test_acc=[0.89655 0.8786 ]
100/100: weights=[0.53079057 1.4692094 ], train_loss=[0.3101612  0.24786173], train_acc=[0.899725   0.91584167], test_loss=[0.33724952 0.3333305 ], test_acc=[0.88945 0.89165]
100/100: weights=[0.5673776 1.4326224], train_loss=[0.32101712 0.29648402], train_acc=[0.8964     0.90071667], test_loss=[0.35552382 0.36326483], test_acc=[0.887 0.88 ]
100/100: weights=[0.31599072 1.6840093 ], train_loss=[0.422604   0.32865968], train_acc=[0.86230833 0.88789167], test_loss=[0.42836463 0.3680193 ], test_acc=[0.8592 0.8766]
100/100: weights=[0.15284708 1.847153  ], train_loss=[0.4695923  0.24532029], train_acc=[0.84686667 0.91739167], test_loss=[0.47323644 0.332098  ], test_acc=[0.8471 0.8917]
100/100: weights=[0.06534508 1.934655  ], train_loss=[0.47913736 0.29022238], train_acc=[0.84445833 0.90181667], test_loss=[0.492869   0.38821626], test_acc=[0.84065 0.87095]
100/100: weights=[0.02953001 1.97047   ], train_loss=[0.49263018 0.18923053], train_acc=[0.83900833 0.93668333], test_loss=[0.4958449 0.3700956], test_acc=[0.83695 0.8871 ]
