1/100: weights=[1.998 0.002], train_loss=[0.80495673 1.8267747 ], train_acc=[0.73514167 0.337625  ], test_loss=[0.77619183 1.8099256 ], test_acc=[0.7421 0.3413]
2/100: weights=[1.937125   0.06287498], train_loss=[0.5909978 1.4835941], train_acc=[0.80804167 0.471675  ], test_loss=[0.57465625 1.4684932 ], test_acc=[0.81155 0.478  ]
4/100: weights=[1.9279722  0.07202779], train_loss=[0.44562685 1.3745359 ], train_acc=[0.85675    0.50550833], test_loss=[0.445498  1.3592285], test_acc=[0.85415 0.5072 ]
6/100: weights=[1.9646202  0.03537972], train_loss=[0.41268632 1.2812947 ], train_acc=[0.86581667 0.53881667], test_loss=[0.41483304 1.2660127 ], test_acc=[0.8635 0.5389]
8/100: weights=[1.9928657  0.00713436], train_loss=[0.35828805 1.2757266 ], train_acc=[0.88470833 0.53698333], test_loss=[0.37908712 1.2606242 ], test_acc=[0.8768  0.54405]
10/100: weights=[1.9965788  0.00342114], train_loss=[0.33617648 1.1951321 ], train_acc=[0.891725   0.57516667], test_loss=[0.36364728 1.1739448 ], test_acc=[0.8829  0.57795]
12/100: weights=[1.9791874 0.0208126], train_loss=[0.33303675 1.1612144 ], train_acc=[0.89111667 0.58845   ], test_loss=[0.36365733 1.1395743 ], test_acc=[0.88065 0.5933 ]
14/100: weights=[1.9988308e+00 1.1692275e-03], train_loss=[0.31281006 1.1589788 ], train_acc=[0.89801667 0.58851667], test_loss=[0.34087756 1.1452804 ], test_acc=[0.89065 0.59225]
16/100: weights=[1.998 0.002], train_loss=[0.2886316 1.0769292], train_acc=[0.90513333 0.62103333], test_loss=[0.3252263 1.056441 ], test_acc=[0.89365 0.62375]
18/100: weights=[1.998 0.002], train_loss=[0.2696129 1.0389197], train_acc=[0.91218333 0.63746667], test_loss=[0.31152707 1.015019  ], test_acc=[0.8989 0.6437]
20/100: weights=[1.9878985  0.01210148], train_loss=[0.26736927 1.0307336 ], train_acc=[0.911325   0.63925833], test_loss=[0.31429842 1.0098089 ], test_acc=[0.8985  0.64165]
22/100: weights=[1.9751109  0.02488909], train_loss=[0.26222453 1.0178672 ], train_acc=[0.91420833 0.64543333], test_loss=[0.31138965 0.99256873], test_acc=[0.9007  0.64905]
24/100: weights=[1.998 0.002], train_loss=[0.2723218 1.0145042], train_acc=[0.910275   0.64745833], test_loss=[0.32529953 0.9876243 ], test_acc=[0.8962  0.65245]
26/100: weights=[1.998 0.002], train_loss=[0.25172377 0.991141  ], train_acc=[0.91665833 0.65445   ], test_loss=[0.30680093 0.9639722 ], test_acc=[0.9011  0.66205]
28/100: weights=[1.998 0.002], train_loss=[0.24290982 0.9696336 ], train_acc=[0.92033333 0.6613    ], test_loss=[0.29966527 0.94185895], test_acc=[0.90205 0.6683 ]
30/100: weights=[1.9925915  0.00740852], train_loss=[0.2315866 0.95855  ], train_acc=[0.92435833 0.6662    ], test_loss=[0.29243046 0.9294156 ], test_acc=[0.9056  0.67455]
32/100: weights=[1.9755274  0.02447264], train_loss=[0.23063338 0.9480782 ], train_acc=[0.92390833 0.67105833], test_loss=[0.29207236 0.91937315], test_acc=[0.90395 0.67905]
34/100: weights=[1.9620482  0.03795188], train_loss=[0.22465271 0.9327679 ], train_acc=[0.92705833 0.67583333], test_loss=[0.2897991 0.9064926], test_acc=[0.90555 0.6833 ]
