100/100: weights=[1.0300893  0.96991074], train_loss=[0.42547795 0.50094527], train_acc=[0.86268333 0.83096667], test_loss=[0.418507  0.5043883], test_acc=[0.8628  0.83185]
100/100: weights=[0.42820743 1.5717926 ], train_loss=[0.35942316 0.4500311 ], train_acc=[0.88325    0.84905833], test_loss=[0.36998904 0.46143168], test_acc=[0.8789 0.8446]
100/100: weights=[1.3069935 0.6930065], train_loss=[0.45622414 0.59216076], train_acc=[0.85295833 0.799225  ], test_loss=[0.4480154 0.5884673], test_acc=[0.8533 0.8027]
100/100: weights=[1.2458104  0.75418955], train_loss=[0.39705712 0.5180961 ], train_acc=[0.87059167 0.82639167], test_loss=[0.40532136 0.52656925], test_acc=[0.86725 0.82825]
100/100: weights=[0.852567 1.147433], train_loss=[0.43604308 0.5488485 ], train_acc=[0.85901667 0.816725  ], test_loss=[0.43353915 0.5508705 ], test_acc=[0.8582  0.81655]
100/100: weights=[0.6273156 1.3726844], train_loss=[0.66647017 0.91907835], train_acc=[0.78380833 0.686     ], test_loss=[0.6544303 0.9189641], test_acc=[0.78465 0.6874 ]
100/100: weights=[0.98267907 1.0173209 ], train_loss=[0.4340816 0.5310943], train_acc=[0.85996667 0.820725  ], test_loss=[0.43803647 0.5213255 ], test_acc=[0.8563  0.82385]
100/100: weights=[0.95031756 1.0496825 ], train_loss=[0.35184202 0.45036313], train_acc=[0.88643333 0.84975833], test_loss=[0.35635984 0.45515612], test_acc=[0.8828 0.8474]
100/100: weights=[1.0273243 0.9726756], train_loss=[0.4176932 0.4843143], train_acc=[0.867175   0.83750833], test_loss=[0.41524303 0.4886521 ], test_acc=[0.868   0.83475]
100/100: weights=[0.5334284 1.4665717], train_loss=[0.41537133 0.5209542 ], train_acc=[0.86610833 0.82649167], test_loss=[0.4148718  0.52629864], test_acc=[0.8628 0.827 ]
100/100: weights=[0.5974764 1.4025235], train_loss=[0.42522788 0.51582545], train_acc=[0.86260833 0.82860833], test_loss=[0.4159811 0.51278  ], test_acc=[0.86305 0.8281 ]
100/100: weights=[0.9675015 1.0324985], train_loss=[0.44585636 0.5248655 ], train_acc=[0.85483333 0.82465833], test_loss=[0.44697073 0.53109497], test_acc=[0.85275 0.8236 ]
100/100: weights=[1.1384993  0.86150074], train_loss=[0.43056947 0.51947904], train_acc=[0.860825   0.82718333], test_loss=[0.42781204 0.5182701 ], test_acc=[0.86145 0.82755]
100/100: weights=[1.1486146 0.8513854], train_loss=[0.4802154  0.58631504], train_acc=[0.84563333 0.80435   ], test_loss=[0.47658628 0.5760532 ], test_acc=[0.84635 0.80695]
100/100: weights=[1.1674477  0.83255225], train_loss=[0.45130125 0.5027667 ], train_acc=[0.8537 0.8326], test_loss=[0.4406591  0.50169075], test_acc=[0.8539  0.83705]
100/100: weights=[1.7420846  0.25791544], train_loss=[0.43986037 0.57669127], train_acc=[0.85786667 0.805475  ], test_loss=[0.43615073 0.57384455], test_acc=[0.8573  0.80695]
100/100: weights=[1.0513115 0.9486885], train_loss=[0.3839896 0.4558364], train_acc=[0.87626667 0.84831667], test_loss=[0.39737707 0.4654178 ], test_acc=[0.87235 0.84555]
