100/100: weights=[1.9637448  0.03625523], train_loss=[0.2757795 1.2839453], train_acc=[0.91066667 0.55499167], test_loss=[0.30835116 1.2879707 ], test_acc=[0.8997  0.55385]
100/100: weights=[1.9676989  0.03230108], train_loss=[0.28881055 0.72891974], train_acc=[0.90565833 0.74906667], test_loss=[0.31182903 0.72624874], test_acc=[0.89735 0.7523 ]
100/100: weights=[1.9568512  0.04314873], train_loss=[0.34483945 0.692666  ], train_acc=[0.88873333 0.76873333], test_loss=[0.35392532 0.6876487 ], test_acc=[0.884   0.77365]
100/100: weights=[1.9418072  0.05819281], train_loss=[0.37889516 0.65743446], train_acc=[0.87811667 0.7816    ], test_loss=[0.38062245 0.6467284 ], test_acc=[0.8737  0.78715]
100/100: weights=[1.3420551  0.65794486], train_loss=[0.35657266 0.58391565], train_acc=[0.88421667 0.804     ], test_loss=[0.35919926 0.58224124], test_acc=[0.8813  0.80545]
100/100: weights=[1.4826558  0.51734424], train_loss=[0.30613196 0.46731415], train_acc=[0.90048333 0.84345833], test_loss=[0.31457657 0.46998724], test_acc=[0.8985  0.84045]
100/100: weights=[1.5276309  0.47236905], train_loss=[0.31606957 0.48795286], train_acc=[0.89805833 0.836875  ], test_loss=[0.3315756  0.48903203], test_acc=[0.89025 0.83615]
100/100: weights=[0.93205637 1.0679436 ], train_loss=[0.41566765 0.5492553 ], train_acc=[0.86521667 0.816175  ], test_loss=[0.41034406 0.5396738 ], test_acc=[0.8625  0.81875]
100/100: weights=[0.6960018 1.3039982], train_loss=[0.46258625 0.52914894], train_acc=[0.851425 0.822125], test_loss=[0.45311737 0.5232812 ], test_acc=[0.85395 0.82565]
100/100: weights=[1.1011447 0.8988553], train_loss=[0.42871907 0.50751656], train_acc=[0.86193333 0.83106667], test_loss=[0.42513236 0.49927533], test_acc=[0.862 0.834]
100/100: weights=[0.7196777 1.2803223], train_loss=[0.64227605 0.6343984 ], train_acc=[0.78993333 0.78645833], test_loss=[0.6303614  0.63367873], test_acc=[0.79315 0.78645]
100/100: weights=[0.29581225 1.7041878 ], train_loss=[0.4949502  0.50138575], train_acc=[0.83850833 0.832075  ], test_loss=[0.489242   0.50853187], test_acc=[0.8387  0.83375]
100/100: weights=[0.40890247 1.5910975 ], train_loss=[0.48890617 0.42193517], train_acc=[0.84191667 0.8584    ], test_loss=[0.48725998 0.4390792 ], test_acc=[0.84205 0.85765]
100/100: weights=[0.7418605 1.2581395], train_loss=[0.64458877 0.5435011 ], train_acc=[0.78995833 0.818575  ], test_loss=[0.63016534 0.5472877 ], test_acc=[0.79325 0.81475]
100/100: weights=[0.274114 1.725886], train_loss=[0.54485637 0.45186007], train_acc=[0.82208333 0.84904167], test_loss=[0.5302929  0.45161435], test_acc=[0.8244  0.85005]
100/100: weights=[0.1247384 1.8752615], train_loss=[0.41224027 0.33171177], train_acc=[0.86618333 0.88839167], test_loss=[0.40851933 0.36729977], test_acc=[0.8659 0.8773]
100/100: weights=[0.10107104 1.898929  ], train_loss=[0.6338168  0.35879645], train_acc=[0.79455  0.878875], test_loss=[0.6255367 0.3899718], test_acc=[0.7939 0.869 ]
